title,link,date
Titre non disponible,https://fstt.ac.ma/Portail2023/11eme-edition-du-concours-francophone-international-ma-these-en-180-secondes-edition-2025/,"avril 8, 2025"
APPEL À PARTICIPATION AU CLUB « SHABAB LABS – JEUNES EN TANT QUE CHERCHEURS » DE L’UNESCO,https://fstt.ac.ma/Portail2023/appel-a-participation-au-club-shabab-labs-jeunes-en-tant-que-chercheurs-de-lunesco/,"avril 3, 2025"
INVITATION : JOURNÉE DOCTORALE,https://fstt.ac.ma/Portail2023/invitation-journee-doctorale/,"avril 2, 2025"
FORMATION À DISTANCE EN « TÉLÉDÉTECTION RADAR : MISSION SENTINEL-1 »,https://fstt.ac.ma/Portail2023/formation-a-distance-en-teledetection-radar-mission-sentinel-1/,"avril 1, 2025"
11ÈME ÉDITION DU CONCOURS FRANCOPHONE INTERNATIONAL « MA THÈSE EN 180 SECONDES » – EDITION 2025,https://fstt.ac.ma/Portail2023/11eme-edition-du-concours-francophone-international-ma-these-en-180-secondes-edition-2025/,"avril 8, 2025"
"16ÈME ÉDITION DU CONCOURS NATIONAL DE L’INNOVATION, DE LA RECHERCHE-DÉVELOPPEMENT ET DE LA TECHNOLOGIE",https://fstt.ac.ma/Portail2023/16eme-edition-du-concours-national-de-linnovation-de-la-recherche-developpement-et-de-la-technologie/,"mars 18, 2025"
APPEL À CANDIDATURE : PROGRAMME DE VISITES DE COOPÉRATION TWAS-DFG (SESSION D’INFORMATION),https://fstt.ac.ma/Portail2023/appel-a-candidature-programme-de-visites-de-cooperation-twas-dfg-session-dinformation/,"mars 11, 2025"
"8éme CONFÉRENCE INTERNATIONALE SUR LES RÉSEAUX, LES SYSTÈMES INTELLIGENTS ET LA CYBERSÉCURITÉ",https://fstt.ac.ma/Portail2023/8eme-conference-internationale-sur-les-reseaux-les-systemes-intelligents-et-la-cybersecurite/,"mars 11, 2025"
DATA2025 HACKATHON,https://fstt.ac.ma/Portail2023/data2025-hackathon/,"mars 11, 2025"
تعليق الدراسة يوم الإثنين بسبب اضطرابات الأحوال الجوية,https://fstt.ac.ma/Portail2023/%d8%aa%d8%b9%d9%84%d9%8a%d9%82-%d8%a7%d9%84%d8%af%d8%b1%d8%a7%d8%b3%d8%a9-%d9%8a%d9%88%d9%85-%d8%a7%d9%84%d8%a5%d8%ab%d9%86%d9%8a%d9%86-%d8%a8%d8%b3%d8%a8%d8%a8-%d8%a7%d8%b6%d8%b7%d8%b1%d8%a7%d8%a8/,"mars 9, 2025"
AVIS AUX ÉTUDIANTS : INSCRIPTION AU TUTORAT 2024/2025 (SESSION DE PRINTEMPS),https://fstt.ac.ma/Portail2023/avis-aux-etudiants-inscription-au-tutorat-2024-2025-session-de-printemps/,"mars 6, 2025"
